"totalPop","blackPop","state","county","tract","block group",
"1415","0","13","089","022401","3",
"842","99","13","089","022401","2",
"2065","1406","13","089","022100","2",
"1624","991","13","089","022100","1",
"2026","318","13","089","022700","3",
"1461","399","13","089","022700","2",
"1926","429","13","089","022700","1",
"2612","1874","13","089","023204","3",
"2402","1650","13","089","023204","2",
"2392","2209","13","089","023506","2",
"2116","287","13","089","021308","1",
"613","76","13","089","021308","2",
"1662","137","13","089","021308","3",
"2614","2158","13","089","023112","2",
"1451","276","13","089","021912","2",
"740","219","13","089","021912","3",
"1811","1187","13","089","021910","2",
"1760","1458","13","089","021910","1",
"1063","37","13","089","021604","2",
"1444","43","13","089","021504","1",
"1047","308","13","089","021503","3",
"1416","81","13","089","021503","2",
"1436","1115","13","089","023107","3",
"3291","3135","13","089","023412","3",
"1802","1727","13","089","023412","1",
"2270","2163","13","089","023416","1",
"1164","1121","13","089","023416","3",
"1789","700","13","089","020500","2",
"1616","535","13","089","020900","1",
"1727","944","13","089","020900","3",
"1704","513","13","089","020700","1",
"1155","22","13","089","021204","1",
"1366","67","13","089","021213","1",
"2362","1201","13","089","021805","2",
"1266","563","13","089","022004","2",
"1976","1852","13","089","023506","1",
"3645","3301","13","089","023424","1",
"3015","380","13","089","021413","1",
"1066","110","13","089","021413","2",
"1102","135","13","089","021411","2",
"2110","1533","13","089","022004","3",
"1804","1742","13","089","023209","3",
"1888","1813","13","089","023424","2",
"1946","1899","13","089","023422","1",
"4278","4151","13","089","023422","2",
"3792","3621","13","089","023421","1",
"1091","1081","13","089","023421","2",
"4219","3880","13","089","023421","3",
"4057","3843","13","089","023315","1",
"1876","1333","13","089","023315","2",
"1323","1163","13","089","023314","1",
"2967","2760","13","089","023314","2",
"1771","1733","13","089","023314","3",
"2240","1806","13","089","023115","1",
"3551","3345","13","089","023206","1",
"0","0","13","089","980000","1",
"724","724","13","089","023428","1",
"963","40","13","089","020400","2",
"2910","2546","13","089","023428","2",
"2500","2282","13","089","023204","1",
"1044","438","13","089","023113","1",
"1736","1235","13","089","023113","2",
"2263","1899","13","089","023111","1",
"1621","1013","13","089","021814","1",
"2878","2760","13","089","023214","1",
"1843","429","13","089","022800","2",
"1767","347","13","089","022008","2",
"1680","670","13","089","022204","2",
"1286","125","13","089","020200","2",
"1230","42","13","089","021504","3",
"612","463","13","089","023427","2",
"1889","347","13","089","021211","2",
"1959","1252","13","089","021907","3",
"1099","92","13","089","021809","4",
"1378","1363","13","089","023507","2",
"788","34","13","089","021502","2",
"1120","538","13","089","020900","4",
"3352","829","13","089","021808","2",
"2609","446","13","089","021217","1",
"1710","1127","13","089","020802","2",
"952","862","13","089","023504","2",
"1614","1602","13","089","023316","3",
"2844","45","13","089","021214","2",
"1210","179","13","089","021602","1",
"1038","923","13","089","023504","1",
"1166","978","13","089","023602","2",
"1359","277","13","089","021410","3",
"1397","0","13","089","021216","1",
"3126","2863","13","089","023316","1",
"1654","1219","13","089","022005","2",
"1781","208","13","089","021808","1",
"2292","583","13","089","021805","1",
"2023","1511","13","089","021909","4",
"2945","497","13","089","021306","1",
"3901","614","13","089","021305","2",
"3215","176","13","089","021417","3",
"986","59","13","089","021415","1",
"1472","305","13","089","021102","3",
"1347","32","13","089","021307","1",
"2097","1791","13","089","023506","3",
"915","795","13","089","023412","2",
"2213","2030","13","089","023416","2",
"1372","549","13","089","020500","1",
"1464","450","13","089","020900","2",
"930","312","13","089","020700","2",
"2160","0","13","089","021213","2",
"2378","1380","13","089","022004","1",
"1692","47","13","089","022403","2",
"1374","55","13","089","021412","2",
"2371","324","13","089","021703","2",
"2536","815","13","089","021814","4",
"1758","888","13","089","021218","1",
"1407","1337","13","089","023416","4",
"2349","2284","13","089","023411","2",
"1581","1261","13","089","023802","1",
"2755","255","13","089","021208","1",
"1512","0","13","089","021214","3",
"6081","5657","13","089","023418","1",
"4414","4122","13","089","023418","3",
"3736","2941","13","089","023303","1",
"1851","353","13","089","021502","1",
"1709","96","13","089","022500","3",
"1471","1191","13","089","023505","1",
"2268","483","13","089","021705","1",
"1879","454","13","089","022001","1",
"1616","126","13","089","022401","1",
"1306","329","13","089","020801","2",
"2115","227","13","089","023000","1",
"2265","1854","13","089","021907","2",
"445","160","13","089","022301","2",
"1417","114","13","089","022301","4",
"1464","1076","13","089","023101","2",
"1609","1320","13","089","021913","2",
"1292","92","13","089","021605","1",
"853","422","13","089","023208","2",
"1777","1682","13","089","023212","1",
"2479","95","13","089","020300","3",
"761","443","13","089","020600","1",
"1088","614","13","089","020802","4",
"2342","205","13","089","021703","1",
"1051","988","13","089","021909","3",
"2499","234","13","089","021202","2",
"1167","1161","13","089","023210","4",
"1709","91","13","089","021810","2",
"1766","1747","13","089","023428","4",
"1658","271","13","089","021502","3",
"802","0","13","089","021416","2",
"2140","223","13","089","021411","1",
"1716","1624","13","089","023112","1",
"1318","383","13","089","021912","1",
"2435","1860","13","089","021910","3",
"2174","58","13","089","021604","1",
"2683","607","13","089","021504","2",
"1475","193","13","089","021503","1",
"2400","2136","13","089","023210","5",
"2177","2014","13","089","023427","1",
"2424","946","13","089","022010","1",
"1672","15","13","089","021211","3",
"2090","286","13","089","021303","3",
"2748","303","13","089","021209","3",
"613","20","13","089","021204","3",
"2130","574","13","089","022203","1",
"2283","2003","13","089","022009","2",
"3282","2880","13","089","023425","2",
"4527","816","13","089","022204","1",
"2415","2325","13","089","023423","3",
"2623","2434","13","089","023419","3",
"1244","144","13","089","021814","2",
"3088","2650","13","089","023414","3",
"800","588","13","089","023601","3",
"1827","159","13","089","021809","2",
"2406","1828","13","089","021906","3",
"2567","2143","13","089","022005","3",
"2040","346","13","089","022600","1",
"986","936","13","089","023107","2",
"1088","940","13","089","023700","3",
"2469","2027","13","089","023700","1",
"1808","1010","13","089","023801","2",
"640","640","13","089","023210","2",
"1437","1303","13","089","023507","3",
"1928","1836","13","089","023410","2",
"2319","1180","13","089","021806","1",
"1649","293","13","089","022302","3",
"3012","2766","13","089","023312","2",
"2596","2492","13","089","023311","2",
"939","898","13","089","023213","1",
"1659","1229","13","089","023114","2",
"1323","607","13","089","022008","1",
"1844","635","13","089","022900","3",
"4193","932","13","089","022402","2",
"1214","403","13","089","022800","1",
"2621","2349","13","089","023209","2",
"2033","1828","13","089","023211","1",
"4802","4432","13","089","023309","3",
"4909","4888","13","089","023310","2"
